year,age,people,sex
1990,46,219606,Female
1990,47,254314,Male
1990,47,289885,Female
1990,48,329383,Male
1990,48,375044,Female
1990,49,342436,Male
1990,49,392971,Female
1990,50,375421,Male
1990,50,441018,Female
1990,51,400020,Male
1990,51,472350,Female
1990,52,424131,Male
1990,52,488750,Female
1990,53,344653,Male
1990,53,400038,Female
1990,54,297453,Male
1990,54,338658,Female
1990,55,227760,Male
1990,55,259023,Female
1990,56,197711,Male
1990,56,234948,Female
1990,57,246548,Male
1990,57,308934,Female
1990,58,261294,Male
1990,58,322269,Female
1990,59,296344,Male
1990,59,381177,Female
1990,60,292886,Male
1990,60,383248,Female
1990,61,301355,Male
1990,61,410137,Female
1990,62,281255,Male
1990,62,386798,Female
1990,63,243509,Male
1990,63,390404,Female
1990,64,214022,Male
1990,64,372572,Female
1990,65,194055,Male
1990,65,369345,Female
1990,66,166625,Male
1990,66,326580,Female
1990,67,138869,Male
1990,67,301648,Female
1990,68,125330,Male
1990,68,258182,Female
1990,69,103161,Male
1990,69,219641,Female
1990,70,100962,Male
1990,70,227952,Female
1990,71,89877,Male
1990,71,192789,Female
1990,72,64494,Male
1990,72,153160,Female
1990,73,64610,Male
1990,73,157870,Female
1990,74,76812,Male
1990,74,186416,Female
1990,75,93266,Male
1990,75,249580,Female
1990,76,84161,Male
1990,76,209710,Female
1990,77,85727,Male
1990,77,238935,Female
1990,78,69153,Male
1990,78,187615,Female
1990,79,67044,Male
1990,79,170551,Female
1991,0,333778,Male
1991,0,317211,Female
1991,1,352870,Male
1991,1,336108,Female
1991,2,380815,Male
1991,2,362501,Female
1991,3,380973,Male
1991,3,364403,Female
1991,4,399856,Male
1991,4,384603,Female
1991,5,388243,Male
1991,5,375319,Female
1991,6,399552,Male
1991,6,383697,Female
1991,7,406417,Male
1991,7,392458,Female
1991,8,376274,Male
1991,8,361647,Female
1991,9,363290,Male
1991,9,351469,Female
1991,10,375371,Male
1991,10,361698,Female
1991,11,366655,Male
1991,11,353101,Female
1991,12,364744,Male
1991,12,353271,Female
1991,13,357746,Male
1991,13,347474,Female
1991,14,374246,Male
1991,14,363743,Female
1991,15,370713,Male
1991,15,361873,Female
1991,16,370474,Male
1991,16,360509,Female
1991,17,373295,Male
1991,17,359332,Female
1991,18,380980,Male
1991,18,370949,Female
1991,19,365630,Male
1991,19,353121,Female
1991,20,347904,Male
1991,20,344178,Female
1991,21,327608,Male
1991,21,320938,Female
1991,22,328031,Male
1991,22,329505,Female
1991,23,334884,Male
1991,23,327443,Female
1991,24,338821,Male
1991,24,336697,Female
1991,25,331477,Male
1991,25,332455,Female
1991,26,350885,Male
1991,26,351914,Female
1991,27,372955,Male
1991,27,377976,Female
1991,28,385121,Male
1991,28,391793,Female
1991,29,394029,Male
1991,29,400022,Female
1991,30,411047,Male
1991,30,416588,Female
1991,31,400217,Male
1991,31,411682,Female
1991,32,395306,Male
1991,32,405736,Female
1991,33,388920,Male
1991,33,399299,Female
1991,34,380121,Male
1991,34,394509,Female
1991,35,362767,Male
1991,35,377784,Female
1991,36,374288,Male
1991,36,391859,Female
1991,37,347532,Male
1991,37,366061,Female
1991,38,366680,Male
1991,38,385506,Female
1991,39,361933,Male
1991,39,379271,Female
1991,40,359788,Male
1991,40,382165,Female
1991,41,378105,Male
1991,41,405966,Female
1991,42,318195,Male
1991,42,344012,Female
1991,43,285548,Male
1991,43,310646,Female
1991,44,272612,Male
1991,44,301801,Female
1991,45,178667,Male
1991,45,201725,Female
1991,46,213481,Male
1991,46,241270,Female
1991,47,192795,Male
1991,47,219183,Female
1991,48,251903,Male
1991,48,289080,Female
1991,49,326270,Male
1991,49,374326,Female
1991,50,338858,Male
1991,50,392104,Female
1991,51,370975,Male
1991,51,439450,Female
1991,52,394807,Male
1991,52,470134,Female
1991,53,418136,Male
1991,53,486483,Female
1991,54,339568,Male
1991,54,397967,Female
1991,55,292512,Male
1991,55,336935,Female
1991,56,223704,Male
1991,56,257476,Female
1991,57,193666,Male
1991,57,232738,Female
1991,58,241037,Male
1991,58,305978,Female
1991,59,255486,Male
1991,59,318779,Female
1991,60,289975,Male
1991,60,378497,Female
1991,61,284799,Male
1991,61,378214,Female
1991,62,292726,Male
1991,62,404468,Female
1991,63,272791,Male
1991,63,381250,Female
1991,64,235181,Male
1991,64,384081,Female
1991,65,206176,Male
1991,65,366123,Female
1991,66,186403,Male
1991,66,361951,Female
1991,67,159570,Male
1991,67,319453,Female
1991,68,132673,Male
1991,68,294555,Female
1991,69,119385,Male
1991,69,251871,Female
1991,70,97838,Male
1991,70,213251,Female
1991,71,95210,Male
1991,71,219843,Female
1991,72,84645,Male
1991,72,187088,Female
1991,73,60080,Male
1991,73,146227,Female
1991,74,60053,Male
1991,74,150659,Female
1991,75,71019,Male
1991,75,177005,Female
1991,76,85579,Male
1991,76,236197,Female
1991,77,76807,Male
1991,77,197261,Female
1991,78,77666,Male
1991,78,223593,Female
1991,79,62137,Male
1991,79,173689,Female
1992,0,323446,Male
1992,0,306206,Female
1992,1,334189,Male
1992,1,317853,Female
1992,2,353785,Male
1992,2,336926,Female
1992,3,381403,Male
1992,3,363292,Female
1992,4,382792,Male
1992,4,365966,Female
1992,5,401783,Male
1992,5,386492,Female
1992,6,390194,Male
1992,6,376972,Female
1992,7,401494,Male
1992,7,385380,Female
1992,8,408323,Male
1992,8,393959,Female
1992,9,377838,Male
1992,9,362668,Female
1992,10,364622,Male
1992,10,352761,Female
1992,11,376444,Male
1992,11,362966,Female
1992,12,366726,Male
1992,12,353449,Female
1992,13,364807,Male
1992,13,353629,Female
1992,14,357491,Male
1992,14,347551,Female
1992,15,374181,Male
1992,15,365206,Female
1992,16,369112,Male
1992,16,361197,Female
1992,17,367363,Male
1992,17,359998,Female
1992,18,368554,Male
1992,18,357441,Female
1992,19,377177,Male
1992,19,370050,Female
1992,20,366423,Male
1992,20,353665,Female
1992,21,349032,Male
1992,21,345047,Female
1992,22,327609,Male
1992,22,321929,Female
1992,23,328258,Male
1992,23,330376,Female
1992,24,334025,Male
1992,24,328389,Female
1992,25,339005,Male
1992,25,337935,Female
1992,26,332130,Male
1992,26,334073,Female
1992,27,351417,Male
1992,27,353376,Female
1992,28,373653,Male
1992,28,379356,Female
1992,29,385500,Male
1992,29,393096,Female
1992,30,394986,Male
1992,30,402092,Female
1992,31,411657,Male
1992,31,418652,Female
1992,32,400183,Male
1992,32,412778,Female
1992,33,395446,Male
1992,33,407149,Female
1992,34,388456,Male
1992,34,400239,Female
1992,35,380023,Male
1992,35,395893,Female
1992,36,362359,Male
1992,36,378668,Female
1992,37,373866,Male
1992,37,392693,Female
1992,38,346571,Male
1992,38,366357,Female
1992,39,365599,Male
1992,39,385950,Female
1992,40,361097,Male
1992,40,380153,Female
1992,41,358791,Male
1992,41,382769,Female
1992,42,376598,Male
1992,42,406294,Female
1992,43,316296,Male
1992,43,343736,Female
1992,44,283821,Male
1992,44,310586,Female
1992,45,270898,Male
1992,45,301790,Female
1992,46,177521,Male
1992,46,201717,Female
1992,47,211414,Male
1992,47,240828,Female
1992,48,190735,Male
1992,48,218674,Female
1992,49,249195,Male
1992,49,288270,Female
1992,50,322887,Male
1992,50,374041,Female
1992,51,335262,Male
1992,51,391603,Female
1992,52,366494,Male
1992,52,438301,Female
1992,53,389437,Male
1992,53,468282,Female
1992,54,411817,Male
1992,54,484357,Female
1992,55,333977,Male
1992,55,396204,Female
1992,56,287236,Male
1992,56,335125,Female
1992,57,219356,Male
1992,57,255931,Female
1992,58,189212,Male
1992,58,230564,Female
1992,59,235274,Male
1992,59,303124,Female
1992,60,249199,Male
1992,60,315467,Female
1992,61,283333,Male
1992,61,375918,Female
1992,62,276023,Male
1992,62,373128,Female
1992,63,283544,Male
1992,63,398838,Female
1992,64,263811,Male
1992,64,375550,Female
1992,65,226511,Male
1992,65,377590,Female
1992,66,197956,Male
1992,66,359213,Female
1992,67,178090,Male
1992,67,353847,Female
1992,68,151766,Male
1992,68,311860,Female
1992,69,126084,Male
1992,69,286628,Female
1992,70,112974,Male
1992,70,244720,Female
1992,71,92072,Male
1992,71,206069,Female
1992,72,89214,Male
1992,72,211005,Female
1992,73,79054,Male
1992,73,180936,Female
1992,74,55534,Male
1992,74,138758,Female
1992,75,55279,Male
1992,75,143086,Female
1992,76,64846,Male
1992,76,167408,Female
1992,77,77748,Male
1992,77,222325,Female
1992,78,69284,Male
1992,78,184061,Female
1992,79,69543,Male
1992,79,207501,Female
1993,0,304090,Male
1993,0,289309,Female
1993,1,324756,Male
1993,1,307991,Female
1993,2,337063,Male
1993,2,320814,Female
1993,3,356329,Male
1993,3,339812,Female
1993,4,383551,Male
1993,4,365980,Female
1993,5,386321,Male
1993,5,369634,Female
1993,6,405467,Male
1993,6,390279,Female
1993,7,393759,Male
1993,7,380530,Female
1993,8,404708,Male
1993,8,389006,Female
1993,9,411584,Male
1993,9,397189,Female
1993,10,380618,Male
1993,10,365332,Female
1993,11,367179,Male
1993,11,355482,Female
1993,12,378614,Male
1993,12,365521,Female
1993,13,367904,Male
1993,13,355224,Female
1993,14,365882,Male
1993,14,355517,Female
1993,15,358845,Male
1993,15,350736,Female
1993,16,374833,Male
1993,16,367608,Female
1993,17,367295,Male
1993,17,366294,Female
1993,18,365774,Male
1993,18,362271,Female
1993,19,366005,Male
1993,19,356784,Female
1993,20,378656,Male
1993,20,369548,Female
1993,21,369513,Male
1993,21,354731,Female
1993,22,351533,Male
1993,22,344673,Female
1993,23,329051,Male
1993,23,322407,Female
1993,24,330246,Male
1993,24,331868,Female
1993,25,335118,Male
1993,25,330453,Female
1993,26,340457,Male
1993,26,340440,Female
1993,27,334105,Male
1993,27,336926,Female
1993,28,352901,Male
1993,28,356339,Female
1993,29,375046,Male
1993,29,382508,Female
1993,30,387204,Male
1993,30,396821,Female
1993,31,396771,Male
1993,31,405776,Female
1993,32,413373,Male
1993,32,422398,Female
1993,33,401164,Male
1993,33,415598,Female
1993,34,396591,Male
1993,34,410205,Female
1993,35,388837,Male
1993,35,402646,Female
1993,36,380642,Male
1993,36,398637,Female
1993,37,362400,Male
1993,37,380663,Female
1993,38,373992,Male
1993,38,394754,Female
1993,39,346088,Male
1993,39,367953,Female
1993,40,364696,Male
1993,40,387656,Female
1993,41,360671,Male
1993,41,382215,Female
1993,42,358210,Male
1993,42,384295,Female
1993,43,375227,Male
1993,43,407537,Female
1993,44,314898,Male
1993,44,344436,Female
1993,45,282510,Male
1993,45,311054,Female
1993,46,269846,Male
1993,46,302404,Female
1993,47,176357,Male
1993,47,202032,Female
1993,48,209575,Male
1993,48,240586,Female
1993,49,188784,Male
1993,49,218277,Female
1993,50,246537,Male
1993,50,287906,Female
1993,51,319573,Male
1993,51,374031,Female
1993,52,331475,Male
1993,52,391443,Female
1993,53,361419,Male
1993,53,437339,Female
1993,54,383329,Male
1993,54,466550,Female
1993,55,405061,Male
1993,55,482534,Female
1993,56,328283,Male
1993,56,394410,Female
1993,57,281700,Male
1993,57,333335,Female
1993,58,214753,Male
1993,58,254111,Female
1993,59,184723,Male
1993,59,228070,Female
1993,60,229156,Male
1993,60,299757,Female
1993,61,242428,Male
1993,61,311696,Female
1993,62,275883,Male
1993,62,372345,Female
1993,63,266672,Male
1993,63,367469,Female
1993,64,273448,Male
1993,64,392463,Female
1993,65,253711,Male
1993,65,368766,Female
1993,66,217365,Male
1993,66,370156,Female
1993,67,188832,Male
1993,67,351539,Female
1993,68,169545,Male
1993,68,344906,Female
1993,69,143809,Male
1993,69,303075,Female
1993,70,119165,Male
1993,70,277678,Female
1993,71,106334,Male
1993,71,236840,Female
1993,72,86341,Male
1993,72,198123,Female
1993,73,82953,Male
1993,73,201636,Female
1993,74,73529,Male
1993,74,173909,Female
1993,75,51188,Male
1993,75,131008,Female
1993,76,50586,Male
1993,76,134712,Female
1993,77,58893,Male
1993,77,156912,Female
1993,78,70005,Male
1993,78,206922,Female
1993,79,61787,Male
1993,79,170097,Female
1994,0,285432,Male
1994,0,271320,Female
1994,1,303171,Male
1994,1,288476,Female
1994,2,324720,Male
1994,2,308220,Female
1994,3,337636,Male
1994,3,321312,Female
1994,4,356740,Male
1994,4,340226,Female
1994,5,383504,Male
1994,5,365947,Female
1994,6,387518,Male
1994,6,370667,Female
1994,7,407022,Male
1994,7,391539,Female
1994,8,395274,Male
1994,8,381709,Female
1994,9,406042,Male
1994,9,390219,Female
1994,10,413040,Male
1994,10,398116,Female
1994,11,381542,Male
1994,11,365915,Female
1994,12,368044,Male
1994,12,356304,Female
1994,13,379275,Male
1994,13,366153,Female
1994,14,367537,Male
1994,14,355060,Female
1994,15,365995,Male
1994,15,356128,Female
1994,16,358077,Male
1994,16,350530,Female
1994,17,372915,Male
1994,17,365725,Female
1994,18,365643,Male
1994,18,364649,Female
1994,19,363223,Male
1994,19,359763,Female
1994,20,364647,Male
1994,20,354307,Female
1994,21,376790,Male
1994,21,366861,Female
1994,22,365740,Male
1994,22,352686,Female
1994,23,349496,Male
1994,23,343939,Female
1994,24,326750,Male
1994,24,322201,Female
1994,25,328226,Male
1994,25,331402,Female
1994,26,332717,Male
1994,26,330192,Female
1994,27,338847,Male
1994,27,340503,Female
1994,28,333120,Male
1994,28,337397,Female
1994,29,351654,Male
1994,29,356848,Female
1994,30,374038,Male
1994,30,382963,Female
1994,31,385887,Male
1994,31,397323,Female
1994,32,395856,Male
1994,32,406593,Female
1994,33,412473,Male
1994,33,423441,Female
1994,34,399429,Male
1994,34,415760,Female
1994,35,395269,Male
1994,35,410803,Female
1994,36,386591,Male
1994,36,402624,Female
1994,37,379013,Male
1994,37,399060,Female
1994,38,360446,Male
1994,38,380590,Female
1994,39,371649,Male
1994,39,394690,Female
1994,40,343347,Male
1994,40,367480,Female
1994,41,361623,Male
1994,41,387091,Female
1994,42,357961,Male
1994,42,382236,Female
1994,43,355318,Male
1994,43,384000,Female
1994,44,371822,Male
1994,44,406697,Female
1994,45,311344,Male
1994,45,343329,Female
1994,46,279184,Male
1994,46,310159,Female
1994,47,266421,Male
1994,47,301662,Female
1994,48,173973,Male
1994,48,201549,Female
1994,49,206497,Male
1994,49,239632,Female
1994,50,185685,Male
1994,50,217315,Female
1994,51,242379,Male
1994,51,286557,Female
1994,52,314173,Male
1994,52,372712,Female
1994,53,325828,Male
1994,53,389889,Female
1994,54,354404,Male
1994,54,435027,Female
1994,55,375446,Male
1994,55,463545,Female
1994,56,396494,Male
1994,56,479300,Female
1994,57,320752,Male
1994,57,391222,Female
1994,58,274551,Male
1994,58,330451,Female
1994,59,208923,Male
1994,59,251561,Female
1994,60,179135,Male
1994,60,225036,Female
1994,61,222058,Male
1994,61,295789,Female
1994,62,234379,Male
1994,62,307126,Female
1994,63,267080,Male
1994,63,368097,Female
1994,64,255929,Male
1994,64,360725,Female
1994,65,261679,Male
1994,65,384930,Female
1994,66,242007,Male
1994,66,361153,Female
1994,67,206723,Male
1994,67,361355,Female
1994,68,179104,Male
1994,68,342626,Female
1994,69,160018,Male
1994,69,334709,Female
1994,70,135180,Male
1994,70,293419,Female
1994,71,111461,Male
1994,71,267749,Female
1994,72,99135,Male
1994,72,227900,Female
1994,73,80116,Male
1994,73,189488,Female
1994,74,76297,Male
1994,74,191200,Female
1994,75,67256,Male
1994,75,165732,Female
1994,76,46401,Male
1994,76,122656,Female
1994,77,45627,Male
1994,77,125665,Female
1994,78,52558,Male
1994,78,145292,Female
1994,79,61874,Male
1994,79,190419,Female
1995,0,264999,Male
1995,0,250881,Female
1995,1,282728,Male
1995,1,269050,Female
1995,2,301325,Male
1995,2,286640,Female
1995,3,322937,Male
1995,3,306621,Female
1995,4,336324,Male
1995,4,320094,Female
1995,5,355133,Male
1995,5,338489,Female
1995,6,381270,Male
1995,6,363951,Female
1995,7,386555,Male
1995,7,369783,Female
1995,8,406583,Male
1995,8,390814,Female
1995,9,394892,Male
1995,9,381012,Female
1995,10,405590,Male
1995,10,389577,Female
1995,11,412724,Male
1995,11,397363,Female
1995,12,380977,Male
1995,12,364926,Female
1995,13,367630,Male
1995,13,355837,Female
1995,14,378468,Male
1995,14,365485,Female
1995,15,365790,Male
1995,15,353928,Female
1995,16,364008,Male
1995,16,354636,Female
1995,17,353787,Male
1995,17,347275,Female
1995,18,370531,Male
1995,18,363613,Female
1995,19,363353,Male
1995,19,361573,Female
1995,20,361515,Male
1995,20,356396,Female
1995,21,361085,Male
1995,21,350406,Female
1995,22,371466,Male
1995,22,361746,Female
1995,23,361073,Male
1995,23,349189,Female
1995,24,346558,Male
1995,24,341636,Female
1995,25,323306,Male
1995,25,320005,Female
1995,26,325299,Male
1995,26,329028,Female
1995,27,328780,Male
1995,27,327839,Female
1995,28,335324,Male
1995,28,338452,Female
1995,29,330000,Male
1995,29,335578,Female
1995,30,348135,Male
1995,30,354842,Female
1995,31,370585,Male
1995,31,381030,Female
1995,32,381967,Male
1995,32,395382,Female
1995,33,392688,Male
1995,33,405244,Female
1995,34,409141,Male
1995,34,422063,Female
1995,35,395438,Male
1995,35,413698,Female
1995,36,391605,Male
1995,36,409367,Female
1995,37,382141,Male
1995,37,400655,Female
1995,38,375108,Male
1995,38,397657,Female
1995,39,356211,Male
1995,39,378760,Female
1995,40,366985,Male
1995,40,392701,Female
1995,41,338793,Male
1995,41,365359,Female
1995,42,356515,Male
1995,42,384802,Female
1995,43,353204,Male
1995,43,380596,Female
1995,44,350558,Male
1995,44,382193,Female
1995,45,366059,Male
1995,45,404425,Female
1995,46,306386,Male
1995,46,341017,Female
1995,47,274290,Male
1995,47,307905,Female
1995,48,261590,Male
1995,48,299820,Female
1995,49,170755,Male
1995,49,200335,Female
1995,50,202355,Male
1995,50,237874,Female
1995,51,182015,Male
1995,51,215933,Female
1995,52,237245,Male
1995,52,284336,Female
1995,53,307444,Male
1995,53,370264,Female
1995,54,318699,Male
1995,54,387022,Female
1995,55,345932,Male
1995,55,431039,Female
1995,56,366257,Male
1995,56,458768,Female
1995,57,385897,Male
1995,57,474187,Female
1995,58,311679,Male
1995,58,386677,Female
1995,59,266392,Male
1995,59,326221,Female
1995,60,201835,Male
1995,60,248014,Female
1995,61,172572,Male
1995,61,221408,Female
1995,62,213872,Male
1995,62,290765,Female
1995,63,225427,Male
1995,63,301594,Female
1995,64,257201,Male
1995,64,362546,Female
1995,65,244176,Male
1995,65,352670,Female
1995,66,249257,Male
1995,66,375850,Female
1995,67,229704,Male
1995,67,352061,Female
1995,68,195001,Male
1995,68,351172,Female
1995,69,168800,Male
1995,69,332133,Female
1995,70,149839,Male
1995,70,322754,Female
1995,71,126176,Male
1995,71,282282,Female
1995,72,103450,Male
1995,72,256215,Female
1995,73,91806,Male
1995,73,217843,Female
1995,74,73765,Male
1995,74,179803,Female
1995,75,69499,Male
1995,75,179504,Female
1995,76,61195,Male
1995,76,156439,Female
1995,77,41808,Male
1995,77,113371,Female
1995,78,40625,Male
1995,78,115971,Female
1995,79,46474,Male
1995,79,132742,Female
1996,0,250479,Male
1996,0,236676,Female
1996,1,263180,Male
1996,1,249512,Female
1996,2,281100,Male
1996,2,267414,Female
1996,3,299949,Male
1996,3,285344,Female
1996,4,321683,Male
1996,4,305396,Female
1996,5,335594,Male
1996,5,319309,Female
1996,6,353807,Male
1996,6,337163,Female
1996,7,379412,Male
1996,7,362256,Female
1996,8,385840,Male
1996,8,368925,Female
1996,9,406427,Male
1996,9,390389,Female
1996,10,394652,Male
1996,10,380500,Female
1996,11,405397,Male
1996,11,389242,Female
1996,12,412510,Male
1996,12,396778,Female
1996,13,380570,Male
1996,13,364009,Female
1996,14,367145,Male
1996,14,355330,Female
1996,15,377661,Male
1996,15,364968,Female
1996,16,363860,Male
1996,16,352346,Female
1996,17,360430,Male
1996,17,351477,Female
1996,18,352000,Male
1996,18,345168,Female
1996,19,368454,Male
1996,19,361534,Female
1996,20,362455,Male
1996,20,359317,Female
1996,21,359047,Male
1996,21,353446,Female
1996,22,356200,Male
1996,22,346177,Female
1996,23,366709,Male
1996,23,358266,Female
1996,24,357901,Male
1996,24,347047,Female
1996,25,344876,Male
1996,25,340401,Female
1996,26,320834,Male
1996,26,318542,Female
1996,27,323321,Male
1996,27,327110,Female
1996,28,325520,Male
1996,28,326103,Female
1996,29,332680,Male
1996,29,336787,Female
1996,30,327518,Male
1996,30,334323,Female
1996,31,345120,Male
1996,31,353296,Female
1996,32,367531,Male
1996,32,379417,Female
1996,33,378667,Male
1996,33,393604,Female
1996,34,389681,Male
1996,34,404158,Female
1996,35,405822,Male
1996,35,420780,Female
1996,36,391428,Male
1996,36,411739,Female
1996,37,387957,Male
